2;54;Рулетики "Каприз";Вырезку разрежьте на 4 ломт., отбейте. Сыр натрите, ветчину и печень нарежьте соломкой.$На ломт. вырезки положите фарш из сыра, ветчины и печени. Сверните рулетом, закрепите шпажками и обжаривайте на масле до образования золотистой корочки.$Влейте вино, добавьте соус, посолите, поперчите и тушите до готовности.$При подаче оформите рулетики консервированной кукурузой, прогретой с помидорами.$<strong> Автор рецепта:</strong>$Овчинников Андрей, г Ярославль. Повар V разряда. Место работы: "Губернаторский клуб", шеф-повар.;2;80;1;1706;10741;621;1423;2082;521;1737;394;13627;16;9;;;;;;;;;;;
4;55;Желе из креветок со спаржей;Креветок очистить и варить в подсоленной воде в течение 3 мин. Охладить.$Яйца сварить и разрезать на 4 части.$Желатин замочить в холодной воде на 40 мин., затем отжать и положить в теплый бульон. Довести до кипения, но не кипятить. Желе охладить и влить вино.$Налить в форму слой желе толщиной 0,5 см, охладить до застудневания, уложить креветок, вновь залить тонким слоем желе и охладить. Так же уложить, чередуя, спаржу и яйца, заливая каждый слой продуктов желе и охлаждая.$Поставить в холодильник на 2 часа.$Перед подачей форму с желе опустить на несколько секунд в горячую воду и выложить желе на блюдо.;10;30;1;12862;8295;5794;5244;8598;1060;;;;;;;;;;;;;;;;
5;46;Салат из баклажанов и сладкого перца;Баклажаны и перец запеките в духовке до готовности, сразу же очистите и мелко нарежьте. Помидоры ошпарьте, очистите от кожицы и семян, мелко порубите. Все перемешайте, добавьте измельченный чеснок, соль, масло и уксус.;;;1;1905;106;16269;335;336;3225;9;;;;;;;;;;;;;;;
7;46;Огородничий салат;Картофель и капусту отварите. Картофель нарежьте кружочками, капусту разберите на соцветия. Подготовленные продукты соедините, добавьте консервированную фасоль, горошек, мелко нарезанную зелень, соль, перец. Заправьте маслом, смешанным с соком лим.;;;1;531;7771;16270;7613;246;336;165;16;9;;;;;;;;;;;;;
8;46;Салат деликатесный с репой;Сварите морковь, репу и цветную капусту. Морковь и репу нарежьте мелкими кубиками, капусту разберите на соцветия. Добавьте к овощам зеленый горошек и перемешайте. Заправьте майонезом и оформите зеленью.;;;1;96;6010;16271;559;389;;;;;;;;;;;;;;;;;
10;46;Диетический салат;Картофель, морковь, свеклу отварите, охладите и очистите. Яблоко очистите от кожицы и семян. Подготовленные овощи, а также огурец и помидор нашинкуйте соломкой. Лук мелко нарежьте. Капусту нашинкуйте и перетрите с сахаром. Все соедините, добавьте зеленый горошек, сбрызните разведенной лимонной кислотой или лимонным соком, заправьте маслом и перемешайте.;;;1;531;96;11292;16272;2321;2092;1692;11405;559;12613;146;1716;;;;;;;;;;
11;46;Овощной салат со свекольным соком;Капусту нашинкуйте соломкой, очищенные яблоки натрите на крупной терке. Картофель отварите в мундире, очистите, нарежьте мелкими кубиками, лук мелко порубите. Подготовленные продукты соедините. Из тертой свеклы отожмите сок, в который добавьте соль, сахар, лимонный сок, перец и масло, перемешайте, залейте полученной смесью салат и посыпьте рубленой зеленью.;;;1;1695;856;347;588;16273;773;11;165;164;270;9;;;;;;;;;;;
13;46;Творожный салат;Помойте помидоры и перец, удалите плодоножки. Острым ножом нарежьте кубиками. Творог перемешайте, посолите и поперчите, добавьте к нему порезанные кубиками овощи. Посыпьте зеленью. Можно добавить дольку чеснока.;6;;3;6356;14791;2887;9;321;8;;;;;;;;;;;;;;;;
14;46;Салат из свеклы и редьки;Подготовленную свеклу и редьку натрите на терке, перемешайте с мелко нарезанным луком, добавьте сахар. Заправьте разведенной лимонной кислотой и маслом.;;;1;1722;8463;588;2269;164;5769;;;;;;;;;;;;;;;;
15;55;Ананас, фаршированный креветками;Ананас разрезать вдоль пополам, мякоть вынуть и нарезать ломтиками.$Креветок отварить в подсоленной и подкисленной лимонным соком воде, очистить.$Полость ананаса заполнить креветками, смешанными с мякотью ананаса.$Для соуса горчицу растереть с сахаром, солью, перцем, добавить коньяк, масло, майонез.$При подаче фаршированный ананас оформить зеленью и ломтиками лим.$Соус подать отдельно.;8;30;1;2511;10149;169;3960;6055;386;164;8;9;259;;;;;;;;;;;;
16;46;Салат из редиса с яйцами;Перемешайте нарезанный соломкой редис, мелко рубленные вареные яйца и лук, добавьте соль, перец, заправьте майонезом или сметаной. На дно салатника уложите листья зеленого салата, на них выложите приготовленный салат. Украсьте кружочками помидора.;;;1;8575;1610;16274;2168;1692;16275;16;9;;;;;;;;;;;;;;
17;46;Салат из редьки с маслом;Подготовленную редьку натрите на терке, заправьте солью и лимонным соком. Добавьте горячий, спассерованный на масле лук. На дно салатника уложите листья зеленого салата, на них выложите приготовленный салат. Украсьте рубленой зеленью.;;;1;16276;11;336;2598;16277;204;9;;;;;;;;;;;;;;;
